stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1888,51874,WB HASTINGS ST FS HOLDOM AVE-,HASTINGS ST @ HOLDOM AVE,49.280436,-122.981419,ZN 99, ,0,
11108,61013,NB SHAUGHNESSY ST FS MCALLISTER AVE,SHAUGHNESSY ST @ MCALLISTER AVE,49.262588,-122.781242,ZN 99, ,0,
11259,59845,SB IOCO RD FS SUTER BROOK WAY,IOCO RD @ SUTER BROOK WAY,49.278864,-122.827419,ZN 99, ,0,
1477,51465,WB HASTINGS ST FS WILLINGDON AVE,HASTINGS ST @ WILLINGDON AVE,49.281124,-123.003973,ZN 99, ,0,
1885,51871,WB HASTINGS ST FS SPERLING AVE,HASTINGS ST @ SPERLING AVE,49.280453,-122.965437,ZN 99, ,0,
11940,61892,MOODY CENTRE STN BAY 5,MOODY CENTRE STN @ BAY 5,49.277834,-122.846551,ZN 99, ,0,
12182,59935,LINCOLN STN BAY 2,LINCOLN STN @ BAY 2,49.280127,-122.793538,ZN 99, ,0,
8139,58042,KOOTENAY LOOP BAY 2,KOOTENAY LOOP @ BAY 2,49.281562,-123.026025,ZN 99, ,0,
3261,53227,WB UNGLESS WAY FS GUILDFORD WAY,UNGLESS WAY @ GUILDFORD WAY,49.283994,-122.824236,ZN 99, ,0,
11827,58779,SB IOCO RD FS UNGLESS WAY,IOCO RD @ UNGLESS WAY,49.282924,-122.828277,ZN 99, ,0,
11766,51869,WB HASTINGS FS CLIFF AVE,HASTINGS ST @ CLIFF AVE,49.280433,-122.959530,ZN 99, ,0,
1886,51872,WB HASTINGS ST FS KENSINGTON AVE,HASTINGS ST @ KENSINGTON AVE,49.280464,-122.970601,ZN 99, ,0,
1887,51873,WB HASTINGS ST FS FELL AVE,HASTINGS ST @ FELL AVE,49.280427,-122.976062,ZN 99, ,0,
10205,51875,WB HASTINGS ST FS HOWARD AVE,HASTINGS ST @ HOWARD AVE,49.280429,-122.984501,ZN 99, ,0,
10204,51876,WB HASTINGS ST FS SPRINGER AVE,HASTINGS ST @ SPRINGER AVE,49.280447,-122.988400,ZN 99, ,0,
1891,51877,WB HASTINGS ST FS HYTHE AVE,HASTINGS ST @ HYTHE AVE,49.280240,-122.991013,ZN 99, ,0,
1892,51878,WB HASTINGS ST FS GAMMA AVE,HASTINGS ST @ GAMMA AVE,49.281077,-122.995896,ZN 99, ,0,
1478,51466,WB HASTINGS ST FS MADISON AVE,HASTINGS ST @ MADISON AVE,49.281127,-123.009657,ZN 99, ,0,
1480,51468,WB HASTINGS ST FS INGLETON AVE,HASTINGS ST @ INGLETON AVE,49.281178,-123.019110,ZN 99, ,0,
2742,52717,KOOTENAY LOOP BAY 7,KOOTENAY LOOP @ BAY 7,49.281204,-123.025393,ZN 99, ,0,
12241,53267,INLET CENTRE STN BAY 1,INLET CENTRE STN @ BAY 1,49.277972,-122.827464,ZN 99, ,0,
1893,51879,WB HASTINGS ST FS ALPHA AVE,HASTINGS ST @ ALPHA AVE,49.281099,-123.000747,ZN 99, ,0,
9224,58664,NB PINETREE WAY FS GLEN DR,PINETREE WAY @ GLEN DR,49.283005,-122.792996,ZN 99, ,0,
3303,53268,WB SAINT JOHNS ST FS MARY ST,SAINT JOHNS ST @ MARY ST,49.276808,-122.855015,ZN 99, ,0,
1391,58428,EB HASTINGS ST FS GILMORE AVE,HASTINGS ST @ GILMORE AVE,49.280952,-123.013445,ZN 99, ,0,
1858,51844,EB HASTINGS ST NS ALPHA AVE,HASTINGS ST @ ALPHA,49.280899,-123.001830,ZN 99, ,0,
1863,51849,EB HASTINGS ST FS HOLDOM AVE,HASTINGS ST @ HOLDOM AVE,49.280238,-122.979963,ZN 99, ,0,
1866,51852,EB HASTINGS ST FS SPERLING AVE,HASTINGS ST @ SPERLING AVE,49.280264,-122.963874,ZN 99, ,0,
3757,53718,NB INLET DR FS RIDGE DR,INLET DR @ RIDGE DR,49.283746,-122.955519,ZN 99, ,0,
3758,53719,NB INLET DR FS BAYVIEW DR,INLET DR @ BAYVIEW DR,49.287081,-122.952613,ZN 99, ,0,
3759,53720,EB BARNET RD AT 7600 BLOCK,BARNET RD @ 7600 BLOCK,49.289962,-122.940212,ZN 99, ,0,
3761,53722,EB BARNET RD AT BARNET MARINE PARK,BARNET RD @ BARNET MARINE PARK,49.288791,-122.925354,ZN 99, ,0,
3762,53723,EB BARNET RD AT 9900 BLOCK,BARNET RD @ 9900 BLOCK,49.288534,-122.896201,ZN 99, ,0,
3763,53724,EB BARNET HWY NS REED POINT WAY,BARNET HWY @ REED POINT WAY,49.290672,-122.879956,ZN 99, ,0,
3764,53725,SB BARNET HWY NS GORE ST,BARNET HWY @ GORE ST,49.284239,-122.867369,ZN 99, ,0,
3765,53726,SB BARNET HWY NS CLARKE ST,BARNET HWY @ CLARKE ST,49.278468,-122.867050,ZN 99, ,0,
3177,53144,EB SAINT JOHNS ST FS DOUGLAS ST,SAINT JOHNS ST @ DOUGLAS ST,49.276593,-122.863686,ZN 99, ,0,
3178,53145,EB SAINT JOHNS ST FS ELGIN ST,SAINT JOHNS ST @ ELGIN ST,49.276629,-122.861233,ZN 99, ,0,
